datetime,exchange_rate
2026-09-25 14:57:00,277.05812
2026-09-25 14:58:00,277.03719
2026-09-25 14:59:00,277.06651
2026-09-25 15:00:00,277.12771
2026-09-25 15:01:00,277.19192
2026-09-25 15:02:00,277.06832
2026-09-25 15:03:00,277.144
2026-09-25 15:04:00,277.08158
2026-09-25 15:05:00,277.08196
2026-09-25 15:06:00,277.1785
2026-09-25 15:07:00,277.11142
2026-09-25 15:08:00,277.10294
2026-09-25 15:09:00,277.07512
2026-09-25 15:10:00,277.04916
2026-09-25 15:11:00,277.14499
2026-09-25 15:12:00,277.0942
2026-09-25 15:13:00,277.08701
2026-09-25 15:14:00,277.09458
2026-09-25 15:15:00,277.08565
2026-09-25 15:16:00,277.16723
2026-09-25 15:17:00,277.07218
2026-09-25 15:18:00,277.20302
2026-09-25 15:19:00,277.06964
2026-09-25 15:20:00,277.11122
2026-09-25 15:21:00,277.13485
2026-09-25 15:22:00,277.08589
2026-09-25 15:23:00,277.07338
2026-09-25 15:24:00,277.05364
2026-09-25 15:25:00,277.04295
2026-09-25 15:26:00,277.16682
2026-09-25 15:27:00,277.08408
2026-09-25 15:28:00,277.06644
2026-09-25 15:29:00,277.07703
2026-09-25 15:30:00,277.035
2026-09-25 15:31:00,277.12565
2026-09-25 15:32:00,277.13593
2026-09-25 15:33:00,277.1542
2026-09-25 15:34:00,277.08023
2026-09-25 15:35:00,277.08328
2026-09-25 15:36:00,277.15831
2026-09-25 15:37:00,277.07242
2026-09-25 15:38:00,277.04398
2026-09-25 15:39:00,277.03321
2026-09-25 15:40:00,277.07938
2026-09-25 15:41:00,277.12191
2026-09-25 15:42:00,277.0789
2026-09-25 15:43:00,277.06618
2026-09-25 15:44:00,277.06305
2026-09-25 15:45:00,277.12739
2026-09-25 15:46:00,277.17718
2026-09-25 15:47:00,277.06737
2026-09-25 15:48:00,277.16117
2026-09-25 15:49:00,277.07454
2026-09-25 15:50:00,277.05243
2026-09-25 15:51:00,277.16358
2026-09-25 15:52:00,277.06256
2026-09-25 15:53:00,277.0875
2026-09-25 15:54:00,277.07544
2026-09-25 15:55:00,277.06984
2026-09-25 15:56:00,277.14976
2026-09-25 15:57:00,277.05802
2026-09-25 15:58:00,277.0758
2026-09-25 15:59:00,277.07618
2026-09-25 16:00:00,277.06159
2026-09-25 16:01:00,277.15105
2026-09-25 16:02:00,277.17562
2026-09-25 16:03:00,277.11513
2026-09-25 16:04:00,277.16504
2026-09-25 16:05:00,277.18718
2026-09-25 16:06:00,277.03561
2026-09-25 16:07:00,277.03846
2026-09-25 16:08:00,277.01531
2026-09-25 16:09:00,277.15758
2026-09-25 16:10:00,277.01957
2026-09-25 16:11:00,277.18257
2026-09-25 16:12:00,277.23279
2026-09-25 16:13:00,277.06404
2026-09-25 16:14:00,277.22312
2026-09-25 16:15:00,277.04415
2026-09-25 16:16:00,277.08831
2026-09-25 16:17:00,277.0393
2026-09-25 16:18:00,277.04163
2026-09-25 16:19:00,277.04551
2026-09-25 16:20:00,277.07338
2026-09-25 16:21:00,277.10905
2026-09-25 16:22:00,277.06714
2026-09-25 16:23:00,277.13298
2026-09-25 16:24:00,277.04889
2026-09-25 16:25:00,277.05242
2026-09-25 16:26:00,277.03585
2026-09-25 16:27:00,277.15102
2026-09-25 16:28:00,277.06107
2026-09-25 16:29:00,277.05953
2026-09-25 16:30:00,277.04244
2026-09-25 16:31:00,277.0954
2026-09-25 16:32:00,277.03902
2026-09-25 16:33:00,277.04921
2026-09-25 16:34:00,277.0764
2026-09-25 16:35:00,277.0895
2026-09-25 16:36:00,277.09332
2026-09-25 16:37:00,277.03636
2026-09-25 16:38:00,277.00313
2026-09-25 16:39:00,277.08423
2026-09-25 16:58:00,277.11873
2026-09-25 16:59:00,277.07382
2026-09-25 17:00:00,277.05548
2026-09-25 17:01:00,277.06597
2026-09-25 17:03:00,277.06609
2026-09-25 17:04:00,277.08388
2026-09-25 17:05:00,277.10312
2026-09-25 17:08:00,277.09059
2026-09-25 17:09:00,277.1127
2026-09-25 17:10:00,277.06093
2026-09-25 17:11:00,277.03848
2026-09-25 17:12:00,277.08375
2026-09-25 17:13:00,277.06267
2026-09-25 17:14:00,277.07915
2026-09-25 17:15:00,277.04386
2026-09-25 17:16:00,277.03042
2026-09-25 17:17:00,277.05696
2026-09-25 17:18:00,277.04428
2026-09-25 17:19:00,277.03971
2026-09-25 17:20:00,277.05024
2026-09-25 17:21:00,277.03601
2026-09-25 17:22:00,277.04936
2026-09-25 17:23:00,277.03299
2026-09-25 17:24:00,277.06556
2026-09-25 17:25:00,277.0429
2026-09-25 17:26:00,277.04261
2026-09-25 17:27:00,277.1093
2026-09-25 17:28:00,277.06368
2026-09-25 17:29:00,277.04667
2026-09-25 17:30:00,277.11818
2026-09-25 17:31:00,277.04554
2026-09-25 17:32:00,277.15481
2026-09-25 17:33:00,277.02034
2026-09-25 17:34:00,276.99884
2026-09-25 17:36:00,277.02887
2026-09-25 17:37:00,277.02218
2026-09-25 17:39:00,277.04352
2026-09-25 17:40:00,277.01266
2026-09-25 17:41:00,277.08177
2026-09-25 17:42:00,277.12282
2026-09-25 17:43:00,276.99481
2026-09-25 17:44:00,277.21092
2026-09-25 17:45:00,277.0497
2026-09-25 17:46:00,277.02373
2026-09-25 17:47:00,277.09536
2026-09-25 17:48:00,277.04105
2026-09-25 17:49:00,277.05027
2026-09-25 17:50:00,277.03711
2026-09-25 17:51:00,277.02764
2026-09-25 17:52:00,277.10366
2026-09-25 17:53:00,277.09494
2026-09-25 17:54:00,277.10397
2026-09-25 17:58:00,277.12569
2026-09-25 18:00:00,277.09641
2026-09-25 18:01:00,277.03214
2026-09-25 18:02:00,277.19776
2026-09-25 18:03:00,277.11543
2026-09-25 18:04:00,277.06852
2026-09-25 18:05:00,277.04813
2026-09-25 18:06:00,277.02461
2026-09-25 18:07:00,277.02597
2026-09-25 18:08:00,277.04975
2026-09-25 18:09:00,277.04614
2026-09-25 18:10:00,277.04087
2026-09-25 18:11:00,277.06256
2026-09-25 18:12:00,277.08184
2026-09-25 18:13:00,277.03618
2026-09-25 18:14:00,277.03495
2026-09-25 18:15:00,277.03907
2026-09-25 18:16:00,277.01338
2026-09-25 18:17:00,277.05091
2026-09-25 18:18:00,277.03687
2026-09-25 18:19:00,277.03615
2026-09-25 18:20:00,277.02888
2026-09-25 18:21:00,277.01127
2026-09-25 18:22:00,277.06616
2026-09-25 18:23:00,277.04403
2026-09-25 18:24:00,277.02193
2026-09-25 18:25:00,277.07653
2026-09-25 18:26:00,277.0379
